pair_id,batch,stratum,corpus,query_id,doc_id,selection_reason,annotator,label,shortlist_pick,notes,model,agent_sha256,prompt_sha256,run,chars_sent,parsed_ok,judged_at,draw
j_244f893f44d8__r_e5b671d6d5ea,0,a1_recheck,a1,j_244f893f44d8,r_e5b671d6d5ea,a1_recheck,llm:claude-sonnet-5:run1,Potential Fit,,"Strong SSIS/DWH/SQL Server exp but no Python, thin cloud-platform depth vs requirements.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,4bb426456d2cca901d1ee9dd9367f62c550cdfe952756a5566fbb4108f1a7cc7,1,10245,True,2026-08-30T07:00:17+00:00,a1_recheck
j_978d084a319f__r_6de8c60312de,0,a1_recheck,a1,j_978d084a319f,r_6de8c60312de,a1_recheck,llm:claude-sonnet-5:run1,No Fit,,"Tax accountant, no construction industry experience or Viewpoint software; not senior GL/job costing background.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,82222dd0848c6d4e87271e5822d2f9ccc43b795ef2d7f770da73858785d7b7eb,1,7526,True,2026-08-30T07:00:18+00:00,a1_recheck
j_601b1be28694__r_3e11bbbda486,0,a1_recheck,a1,j_601b1be28694,r_3e11bbbda486,a1_recheck,llm:claude-sonnet-5:run1,No Fit,,"Data analyst/military background, no BA experience translating business reqs or agile IT BA work.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,ff0b0aaf6950a6e2120efa9524fbfa7e81ddb2978f02ab0f566bc72b881c5aec,1,11556,True,2026-08-30T07:00:18+00:00,a1_recheck
j_3703c60dc13d__r_af6a8343706f,0,a1_recheck,a1,j_3703c60dc13d,r_af6a8343706f,a1_recheck,llm:claude-sonnet-5:run1,No Fit,,"Software engineer background, no power electronics/analog hardware design experience.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,1327fcef01a7f805ce99bca5cf8a82c126414b0b9f142052f94971223a02bd9b,1,6565,True,2026-08-30T07:00:19+00:00,a1_recheck
j_601b1be28694__r_5c04e2270625,0,a1_recheck,a1,j_601b1be28694,r_5c04e2270625,a1_recheck,llm:claude-sonnet-5:run1,No Fit,,"Data analyst/engineer profile, not a BA role; lacks 5+ yrs BA experience, no leadership of junior BAs mentioned.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,d9977b6382aa701564e7b6e05b0690d389d11d460a541cccd4601fc7a0debd0e,1,7774,True,2026-08-30T07:00:19+00:00,a1_recheck
j_601b1be28694__r_60d5e723d074,0,a1_recheck,a1,j_601b1be28694,r_60d5e723d074,a1_recheck,llm:claude-sonnet-5:run1,Potential Fit,,"Strong data analysis/BI skills but lacks BA role evidence, healthcare domain, leadership/coaching experience.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,fdd52877c98a9fcfad0bd8a20e7bd2ccc79c48881202a5f5e51eabbfa7c91444,1,8538,True,2026-08-30T07:00:21+00:00,a1_recheck
j_b35cfefb41dd__r_54efc8ed3054,0,a1_recheck,a1,j_b35cfefb41dd,r_54efc8ed3054,a1_recheck,llm:claude-sonnet-5:run1,Potential Fit,,"Strong corporate accounting/GL/AP background but no public accounting, tax prep (1040/1065/1120S), or CPA evidence.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,19c4a045e42ca26578080e09b1f2e8ae78f714503255ea4fcf4f5507eaa2895c,1,15843,True,2026-08-30T07:00:21+00:00,a1_recheck
j_b35cfefb41dd__r_3c191b7fe1d1,0,a1_recheck,a1,j_b35cfefb41dd,r_3c191b7fe1d1,a1_recheck,llm:claude-sonnet-5:run1,No Fit,,"Banking/teller background, no public accounting or tax prep experience; not CPA track.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,943779c9c34c44c87e87a413b6bc14ac173b33a3653e7195accbe3786a67d40c,1,6577,True,2026-08-30T07:00:22+00:00,a1_recheck
j_9114d6480e8e__r_e741e1ca6ee8,0,a1_recheck,a1,j_9114d6480e8e,r_e741e1ca6ee8,a1_recheck,llm:claude-sonnet-5:run1,No Fit,,"Security/QA background, no .NET/C# development experience; different domain from required role.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,f338bbeb617f226c81d1da175f71a81421211478d287e556122094fce83e4511,1,9023,True,2026-08-30T07:00:22+00:00,a1_recheck
j_f5e9f3bdbe1e__r_576a62182bc4,0,a1_recheck,a1,j_f5e9f3bdbe1e,r_576a62182bc4,a1_recheck,llm:claude-sonnet-5:run2,No Fit,,"No BA/requirements experience, no PBM, no Agile/SDLC; pharma customer service background only.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,03ae713f7b3fa5aca32315f48c8311534f5449983e4eb41622b8e96691a75ccf,2,7279,True,2026-08-30T07:01:45+00:00,a1_recheck
j_39e6a4ffe7ea__r_cfef6a354732,0,a1_recheck,a1,j_39e6a4ffe7ea,r_cfef6a354732,a1_recheck,llm:claude-sonnet-5:run2,No Fit,,"Candidate is accounting/insurance claims background, no data engineering or SQL Server experience.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,a247ab870493a7ca5334ac08c9ec8e054aa6eb377e8bacff622bcdcbc7108773,2,14010,True,2026-08-30T07:01:46+00:00,a1_recheck
j_6057b152b402__r_9a1f6ae662f5,0,a1_recheck,a1,j_6057b152b402,r_9a1f6ae662f5,a1_recheck,llm:claude-sonnet-5:run2,Potential Fit,,"Strong analytics/SQL/Tableau skills, some telecom-adjacent bg, but no direct promo/telecom BA experience.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,76171477ede7ef9ec07975c469fb8a8ace25435cc49bcd86ccc1f3ea16cce881,2,3908,True,2026-08-30T07:01:46+00:00,a1_recheck
j_81bfd39d8a31__r_e72f975e1554,0,a1_recheck,a1,j_81bfd39d8a31,r_e72f975e1554,a1_recheck,llm:claude-sonnet-5:run2,No Fit,,"Software/Solution Architect background, no cost accounting or GAAP/IFRS experience; different profession.",claude-sonnet-5,47fc2e488a1b13536989e8dcd7bbd7e6d23d8351e32053fdfc0b30ffa90cb890,8f77e38d3d6393e48b0075ccee0f0a9545e516e6f9b70c41a3ae37b90bf8b7d0,2,9989,True,2026-08-30T07:01:46+00:00,a1_recheck
